Max,Min,Offer,Rate
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
120,80,0,0.008
