Max,Min,Offer,Rate
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
2.3,2.17,0,0.008
