Max,Min,Offer,Rate
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
30,10,0,0.008
