Max,Min,Offer,Rate
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
0.52,0.27,0,0.008
