Max,Min,Offer,Rate
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
0.45,0.27,-0.01,0.008
