Max,Min,Offer,Rate
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0.01,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0.01,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
1.6,1.36,0,0.008
